Site,latitude,longitude,Variety,Year,Variable,Value
napa,38.3,122,CabernetS,1994,brix,23.2
napa,38.3,122,CabernetS,1995,brix,23.6
napa,38.3,122,CabernetS,1996,brix,23.7
napa,38.3,122,CabernetS,1997,brix,24.5
napa,38.3,122,CabernetS,1998,brix,24
napa,38.3,122,CabernetS,1999,brix,24.3
napa,38.3,122,CabernetS,2000,brix,23.9
napa,38.3,122,CabernetS,2001,brix,24.8
napa,38.3,122,CabernetS,2002,brix,25.4
napa,38.3,122,CabernetS,2003,brix,24.9
napa,38.3,122,CabernetS,2004,brix,25.8
napa,38.3,122,CabernetS,2005,brix,25.4
napa,38.3,122,CabernetS,2006,brix,25.6
napa,38.3,122,CabernetS,2007,brix,25.9
napa,38.3,122,CabernetS,2008,brix,25.7
napa,38.3,122,CabernetS,2009,brix,25.1
napa,38.3,122,CabernetS,2010,brix,24.5
napa,38.3,122,CabernetS,2011,brix,23.8
napa,38.3,122,CabernetS,2012,brix,25.1
napa,38.3,122,CabernetS,2013,brix,26.3
napa,38.3,122,CabernetS,2014,brix,26
napa,38.3,122,CabernetS,2015,brix,26.1
napa,38.3,122,CabernetS,2016,brix,25.9
napa,38.3,122,CabernetS,2017,brix,25.2
napa,38.3,122,CabernetS,2018,brix,25.3
napa,38.3,122,Merlot,1994,brix,23.2
napa,38.3,122,Merlot,1995,brix,23.3
napa,38.3,122,Merlot,1996,brix,23.2
napa,38.3,122,Merlot,1997,brix,24
napa,38.3,122,Merlot,1998,brix,23.1
napa,38.3,122,Merlot,1999,brix,24
napa,38.3,122,Merlot,2000,brix,24
napa,38.3,122,Merlot,2001,brix,20.2
napa,38.3,122,Merlot,2002,brix,24.8
napa,38.3,122,Merlot,2003,brix,24.6
napa,38.3,122,Merlot,2004,brix,24.9
napa,38.3,122,Merlot,2005,brix,24.4
napa,38.3,122,Merlot,2006,brix,24.8
napa,38.3,122,Merlot,2007,brix,24.7
napa,38.3,122,Merlot,2008,brix,24.9
napa,38.3,122,Merlot,2009,brix,24.6
napa,38.3,122,Merlot,2010,brix,24.4
napa,38.3,122,Merlot,2011,brix,23.8
napa,38.3,122,Merlot,2012,brix,24.6
napa,38.3,122,Merlot,2013,brix,25.1
napa,38.3,122,Merlot,2014,brix,25.2
napa,38.3,122,Merlot,2015,brix,25.2
napa,38.3,122,Merlot,2016,brix,25.2
napa,38.3,122,Merlot,2017,brix,25
napa,38.3,122,Merlot,2018,brix,25.2
napa,38.3,122,SauvignonB,1994,brix,22.4
napa,38.3,122,SauvignonB,1995,brix,22.4
napa,38.3,122,SauvignonB,1996,brix,22.5
napa,38.3,122,SauvignonB,1997,brix,22.6
napa,38.3,122,SauvignonB,1998,brix,22.4
napa,38.3,122,SauvignonB,1999,brix,23.3
napa,38.3,122,SauvignonB,2000,brix,23.2
napa,38.3,122,SauvignonB,2001,brix,23.4
napa,38.3,122,SauvignonB,2002,brix,23.5
napa,38.3,122,SauvignonB,2003,brix,23.4
napa,38.3,122,SauvignonB,2004,brix,23.7
napa,38.3,122,SauvignonB,2005,brix,23.3
napa,38.3,122,SauvignonB,2006,brix,23.5
napa,38.3,122,SauvignonB,2007,brix,24
napa,38.3,122,SauvignonB,2008,brix,23.8
napa,38.3,122,SauvignonB,2009,brix,23.6
napa,38.3,122,SauvignonB,2010,brix,23.4
napa,38.3,122,SauvignonB,2011,brix,23.4
napa,38.3,122,SauvignonB,2012,brix,23.4
napa,38.3,122,SauvignonB,2013,brix,23.6
napa,38.3,122,SauvignonB,2014,brix,23.4
napa,38.3,122,SauvignonB,2015,brix,23.8
napa,38.3,122,SauvignonB,2016,brix,23.4
napa,38.3,122,SauvignonB,2017,brix,23.6
napa,38.3,122,SauvignonB,2018,brix,23.5
napa,38.3,122,Chardonnay,1994,brix,22.8
napa,38.3,122,Chardonnay,1995,brix,23.1
napa,38.3,122,Chardonnay,1996,brix,23.3
napa,38.3,122,Chardonnay,1997,brix,23.6
napa,38.3,122,Chardonnay,1998,brix,22.8
napa,38.3,122,Chardonnay,1999,brix,23.5
napa,38.3,122,Chardonnay,2000,brix,23.5
napa,38.3,122,Chardonnay,2001,brix,24
napa,38.3,122,Chardonnay,2002,brix,23.6
napa,38.3,122,Chardonnay,2003,brix,23.6
napa,38.3,122,Chardonnay,2004,brix,24.1
napa,38.3,122,Chardonnay,2005,brix,23.5
napa,38.3,122,Chardonnay,2006,brix,23.7
napa,38.3,122,Chardonnay,2007,brix,23.8
napa,38.3,122,Chardonnay,2008,brix,24
napa,38.3,122,Chardonnay,2009,brix,23.6
napa,38.3,122,Chardonnay,2010,brix,23.3
napa,38.3,122,Chardonnay,2011,brix,23.2
napa,38.3,122,Chardonnay,2012,brix,23.5
napa,38.3,122,Chardonnay,2013,brix,23.8
napa,38.3,122,Chardonnay,2014,brix,23.9
napa,38.3,122,Chardonnay,2015,brix,24
napa,38.3,122,Chardonnay,2016,brix,23.7
napa,38.3,122,Chardonnay,2017,brix,23.5
napa,38.3,122,Chardonnay,2018,brix,23.3
oysterBay,-41.25,174.25,Sauvignon,2005,yield,3
oysterBay,-41.25,174.25,Sauvignon,2006,yield,4.43
oysterBay,-41.25,174.25,Sauvignon,2007,yield,2.37
oysterBay,-41.25,174.25,Sauvignon,2008,yield,5.17
oysterBay,-41.25,174.25,Sauvignon,2009,yield,4.57
oysterBay,-41.25,174.25,Sauvignon,2010,yield,6.6
oysterBay,-41.25,174.25,Sauvignon,2011,yield,9.01
oysterBay,-41.25,174.25,Sauvignon,2012,yield,4.87
oysterBay,-41.25,174.25,Sauvignon,2013,yield,5.01
oysterBay,-41.25,174.25,Sauvignon,2014,yield,7.18
oysterBay,-41.25,174.25,Sauvignon,2015,yield,5.42
oysterBay,-41.25,174.25,Sauvignon,2016,yield,5.31
oysterBay,-41.25,174.25,Sauvignon,2017,yield,5.74
oysterBay,-41.25,174.25,Sauvignon,2018,yield,7.54
oysterBay,-41.25,174.25,Sauvignon,2019,yield,4.67
penedes,41.53,1.77,Chardonnay,1998,yield,1302
penedes,41.53,1.77,Chardonnay,1999,yield,1999
penedes,41.53,1.77,Chardonnay,2000,yield,1504
penedes,41.53,1.77,Chardonnay,2001,yield,1144
penedes,41.53,1.77,Chardonnay,2002,yield,2333
penedes,41.53,1.77,Chardonnay,2003,yield,1228
penedes,41.53,1.77,Chardonnay,2004,yield,1951
penedes,41.53,1.77,Chardonnay,2005,yield,1031
penedes,41.53,1.77,Chardonnay,2006,yield,1087
penedes,41.53,1.77,Chardonnay,2007,yield,1644
penedes,41.53,1.77,Chardonnay,2008,yield,1561
penedes,41.53,1.77,Chardonnay,2009,yield,1679
penedes,41.53,1.77,Chardonnay,2010,yield,1280
penedes,41.53,1.77,Chardonnay,2011,yield,1530
penedes,41.53,1.77,Chardonnay,2012,yield,1004
coonawarra,-37,115,CabernetS,1993,yield,205
coonawarra,-37,115,CabernetS,1994,yield,205
coonawarra,-37,115,CabernetS,1995,yield,220
coonawarra,-37,115,CabernetS,1996,yield,390
coonawarra,-37,115,CabernetS,1997,yield,145
coonawarra,-37,115,CabernetS,1998,yield,220
coonawarra,-37,115,CabernetS,1999,yield,210
coonawarra,-37,115,CabernetS,2000,yield,100
coonawarra,-37,115,CabernetS,2001,yield,270
coonawarra,-37,115,CabernetS,2002,yield,60
coonawarra,-37,115,CabernetS,2003,yield,65
coonawarra,-37,115,CabernetS,2004,yield,170
Luxembourg,49.54,6.35,MullerThurgau,1993,yield,137
Luxembourg,49.54,6.35,MullerThurgau,1994,yield,147
Luxembourg,49.54,6.35,MullerThurgau,1995,yield,130
Luxembourg,49.54,6.35,MullerThurgau,1996,yield,118
Luxembourg,49.54,6.35,MullerThurgau,1997,yield,49
Luxembourg,49.54,6.35,MullerThurgau,1998,yield,142
Luxembourg,49.54,6.35,MullerThurgau,1999,yield,162
Luxembourg,49.54,6.35,MullerThurgau,2000,yield,109
Luxembourg,49.54,6.35,MullerThurgau,2001,yield,122
Luxembourg,49.54,6.35,MullerThurgau,2002,yield,140
Luxembourg,49.54,6.35,MullerThurgau,2003,yield,123
Luxembourg,49.54,6.35,MullerThurgau,2004,yield,153
Luxembourg,49.54,6.35,MullerThurgau,2005,yield,119
Luxembourg,49.54,6.35,MullerThurgau,2006,yield,126
Luxembourg,49.54,6.35,MullerThurgau,2007,yield,129
Luxembourg,49.54,6.35,MullerThurgau,2008,yield,116
Luxembourg,49.54,6.35,MullerThurgau,2009,yield,135
Luxembourg,49.54,6.35,MullerThurgau,2010,yield,105
Luxembourg,49.54,6.35,MullerThurgau,2011,yield,135
Luxembourg,49.54,6.35,MullerThurgau,2012,yield,82
Luxembourg,49.54,6.35,MullerThurgau,2013,yield,101
Luxembourg,49.54,6.35,MullerThurgau,2014,yield,120
Luxembourg,49.54,6.35,MullerThurgau,2015,yield,107
Luxembourg,49.54,6.35,Riesling,1993,yield,96
Luxembourg,49.54,6.35,Riesling,1994,yield,94
Luxembourg,49.54,6.35,Riesling,1995,yield,77
Luxembourg,49.54,6.35,Riesling,1996,yield,78
Luxembourg,49.54,6.35,Riesling,1997,yield,64
Luxembourg,49.54,6.35,Riesling,1998,yield,102
Luxembourg,49.54,6.35,Riesling,1999,yield,110
Luxembourg,49.54,6.35,Riesling,2000,yield,95
Luxembourg,49.54,6.35,Riesling,2001,yield,72
Luxembourg,49.54,6.35,Riesling,2002,yield,98
Luxembourg,49.54,6.35,Riesling,2003,yield,92
Luxembourg,49.54,6.35,Riesling,2004,yield,97
Luxembourg,49.54,6.35,Riesling,2005,yield,89
Luxembourg,49.54,6.35,Riesling,2006,yield,80
Luxembourg,49.54,6.35,Riesling,2007,yield,104
Luxembourg,49.54,6.35,Riesling,2008,yield,86
Luxembourg,49.54,6.35,Riesling,2009,yield,94
Luxembourg,49.54,6.35,Riesling,2010,yield,65
Luxembourg,49.54,6.35,Riesling,2011,yield,88
Luxembourg,49.54,6.35,Riesling,2012,yield,76
Luxembourg,49.54,6.35,Riesling,2013,yield,60
Luxembourg,49.54,6.35,Riesling,2014,yield,86
Luxembourg,49.54,6.35,Riesling,2015,yield,69
ColliOrientali,44,11,CabernetS,2006,bunchNo,20
ColliOrientali,44,11,CabernetS,2007,bunchNo,18
ColliOrientali,44,11,CabernetS,2008,bunchNo,18
ColliOrientali,44,11,CabernetS,2009,bunchNo,12
ColliOrientali,44,11,CabernetS,2010,bunchNo,17
ColliOrientali,44,11,CabernetS,2011,bunchNo,13
ColliOrientali,44,11,CabernetS,2012,bunchNo,17
ColliOrientali,44,11,CabernetS,2013,bunchNo,8
ColliOrientali,44,11,CabernetS,2014,bunchNo,14
ColliOrientali,44,11,CabernetS,2015,bunchNo,16
ColliOrientali,44,11,CabernetS,2016,bunchNo,21
ColliOrientali,44,11,CabernetS,2017,bunchNo,20
ColliOrientali,44,11,CabernetS,2018,bunchNo,18
ColliOrientali,44,11,CabernetS,2019,bunchNo,17
ColliOrientali,44,11,CabernetS,2006,berriesNo,80
ColliOrientali,44,11,CabernetS,2007,berriesNo,125
ColliOrientali,44,11,CabernetS,2008,berriesNo,90
ColliOrientali,44,11,CabernetS,2009,berriesNo,112
ColliOrientali,44,11,CabernetS,2010,berriesNo,96
ColliOrientali,44,11,CabernetS,2011,berriesNo,134
ColliOrientali,44,11,CabernetS,2012,berriesNo,106
ColliOrientali,44,11,CabernetS,2013,berriesNo,100
ColliOrientali,44,11,CabernetS,2014,berriesNo,124
ColliOrientali,44,11,CabernetS,2015,berriesNo,115
ColliOrientali,44,11,CabernetS,2016,berriesNo,125
ColliOrientali,44,11,CabernetS,2017,berriesNo,129
ColliOrientali,44,11,CabernetS,2018,berriesNo,145
ColliOrientali,44,11,CabernetS,2019,berriesNo,105
ColliOrientali,44,11,CabernetS,2020,berriesNo,122
ColliOrientali,44,11,CabernetS,2021,berriesNo,90
ColliOrientali,44,11,CabernetS,2022,berriesNo,149
ColliOrientali,44,11,CabernetS,2023,berriesNo,104
ColliOrientali,44,11,CabernetS,2024,berriesNo,85
ColliOrientali,44,11,CabernetS,2006,berryWeight,1.2
ColliOrientali,44,11,CabernetS,2007,berryWeight,1.29
ColliOrientali,44,11,CabernetS,2008,berryWeight,1.57
ColliOrientali,44,11,CabernetS,2009,berryWeight,1.37
ColliOrientali,44,11,CabernetS,2010,berryWeight,1.41
ColliOrientali,44,11,CabernetS,2011,berryWeight,1.34
ColliOrientali,44,11,CabernetS,2012,berryWeight,1.14
ColliOrientali,44,11,CabernetS,2013,berryWeight,0.94
ColliOrientali,44,11,CabernetS,2014,berryWeight,1.38
ColliOrientali,44,11,CabernetS,2015,berryWeight,1.19
ColliOrientali,44,11,CabernetS,2016,berryWeight,1.09
ColliOrientali,44,11,CabernetS,2017,berryWeight,1.35
ColliOrientali,44,11,CabernetS,2018,berryWeight,1.46
ColliOrientali,44,11,CabernetS,2019,berryWeight,1.13
ColliOrientali,44,11,CabernetS,2020,berryWeight,1.22
ColliOrientali,44,11,CabernetS,2021,berryWeight,1.3
ColliOrientali,44,11,CabernetS,2022,berryWeight,1.25
ColliOrientali,44,11,CabernetS,2023,berryWeight,1.1
ColliOrientali,44,11,CabernetS,2024,berryWeight,1.2
ColliOrientali,44,11,CabernetS,2006,yield,1.92
ColliOrientali,44,11,CabernetS,2007,yield,2.9
ColliOrientali,44,11,CabernetS,2008,yield,2.54
ColliOrientali,44,11,CabernetS,2009,yield,1.84
ColliOrientali,44,11,CabernetS,2010,yield,2.3
ColliOrientali,44,11,CabernetS,2011,yield,2.33
ColliOrientali,44,11,CabernetS,2012,yield,2.05
ColliOrientali,44,11,CabernetS,2013,yield,0.75
ColliOrientali,44,11,CabernetS,2014,yield,2.4
ColliOrientali,44,11,CabernetS,2015,yield,2.19
ColliOrientali,44,11,CabernetS,2016,yield,2.86
ColliOrientali,44,11,CabernetS,2017,yield,3.48
ColliOrientali,44,11,CabernetS,2018,yield,3.81
ColliOrientali,44,11,CabernetS,2019,yield,2.02
ColliOrientali,44,11,CabernetS,2008,sugar,20.5
ColliOrientali,44,11,CabernetS,2009,sugar,22.8
ColliOrientali,44,11,CabernetS,2010,sugar,21.4
ColliOrientali,44,11,CabernetS,2011,sugar,21.9
ColliOrientali,44,11,CabernetS,2012,sugar,22.6
ColliOrientali,44,11,CabernetS,2013,sugar,20.7
ColliOrientali,44,11,CabernetS,2014,sugar,17.6
ColliOrientali,44,11,CabernetS,2015,sugar,21.1
ColliOrientali,44,11,CabernetS,2016,sugar,21.4
ColliOrientali,44,11,CabernetS,2017,sugar,19
ColliOrientali,44,11,CabernetS,2018,sugar,20.7
ColliOrientali,44,11,CabernetS,2019,sugar,21.5
ColliOrientali,44,11,CabernetS,2020,sugar,20
ColliOrientali,44,11,CabernetS,2021,sugar,21.7
ColliOrientali,44,11,CabernetS,2022,sugar,21.9
ColliOrientali,44,11,CabernetS,2023,sugar,21.6
ColliOrientali,44,11,CabernetS,2008,acid,9.3
ColliOrientali,44,11,CabernetS,2009,acid,6.4
ColliOrientali,44,11,CabernetS,2010,acid,9.4
ColliOrientali,44,11,CabernetS,2011,acid,5.9
ColliOrientali,44,11,CabernetS,2012,acid,6.55
ColliOrientali,44,11,CabernetS,2013,acid,6.5
ColliOrientali,44,11,CabernetS,2014,acid,10.4
ColliOrientali,44,11,CabernetS,2015,acid,6.9
ColliOrientali,44,11,CabernetS,2016,acid,6.6
ColliOrientali,44,11,CabernetS,2017,acid,7.3
ColliOrientali,44,11,CabernetS,2018,acid,5.8
ColliOrientali,44,11,CabernetS,2019,acid,6.6
ColliOrientali,44,11,CabernetS,2020,acid,7.4
ColliOrientali,44,11,CabernetS,2021,acid,6.1
ColliOrientali,44,11,CabernetS,2022,acid,5.2
ColliOrientali,44,11,CabernetS,2023,acid,5.9
ColliOrientali,44,11,CabernetS,1998,anthocians,1954.79
ColliOrientali,44,11,CabernetS,1999,anthocians,2313.83
ColliOrientali,44,11,CabernetS,2000,anthocians,853.72
ColliOrientali,44,11,CabernetS,2003,anthocians,1862.93
ColliOrientali,44,11,CabernetS,2004,anthocians,2181.47
ColliOrientali,44,11,CabernetS,2005,anthocians,1994.68
ColliOrientali,44,11,CabernetS,2006,anthocians,1372.34
ColliOrientali,44,11,CabernetS,2007,anthocians,1515.96
ColliOrientali,44,11,CabernetS,2008,anthocians,1379
ColliOrientali,44,11,CabernetS,2009,anthocians,1515
ColliOrientali,44,11,CabernetS,2010,anthocians,1937
ColliOrientali,44,11,CabernetS,2011,anthocians,1616
ColliOrientali,44,11,CabernetS,2013,anthocians,1196.91
ColliOrientali,44,11,CabernetS,2015,anthocians,1235.52
ColliOrientali,44,11,CabernetS,2016,anthocians,1940.15
ColliOrientali,44,11,CabernetS,2017,anthocians,1409.27
ColliOrientali,44,11,CabernetS,2018,anthocians,1467.18
ColliOrientali,44,11,CabernetS,2019,anthocians,1370.66
ColliOrientali,44,11,CabernetS,2020,anthocians,1206.56
ColliOrientali,44,11,CabernetS,2021,anthocians,2075.29
ColliOrientali,44,11,CabernetS,2022,anthocians,1158.3
ColliOrientali,44,11,CabernetS,2023,anthocians,960
ColliOrientali,44,11,CabernetS,2024,anthocians,1550
ColliOrientali,44,11,Carmenere,2006,bunchNo,21
ColliOrientali,44,11,Carmenere,2007,bunchNo,21
ColliOrientali,44,11,Carmenere,2008,bunchNo,15
ColliOrientali,44,11,Carmenere,2009,bunchNo,9
ColliOrientali,44,11,Carmenere,2010,bunchNo,10
ColliOrientali,44,11,Carmenere,2011,bunchNo,14
ColliOrientali,44,11,Carmenere,2012,bunchNo,11
ColliOrientali,44,11,Carmenere,2013,bunchNo,7
ColliOrientali,44,11,Carmenere,2014,bunchNo,9
ColliOrientali,44,11,Carmenere,2015,bunchNo,10
ColliOrientali,44,11,Carmenere,2016,bunchNo,11
ColliOrientali,44,11,Carmenere,2017,bunchNo,11
ColliOrientali,44,11,Carmenere,2018,bunchNo,15
ColliOrientali,44,11,Carmenere,2019,bunchNo,14
ColliOrientali,44,11,Carmenere,2006,berriesNo,72
ColliOrientali,44,11,Carmenere,2007,berriesNo,83
ColliOrientali,44,11,Carmenere,2008,berriesNo,97
ColliOrientali,44,11,Carmenere,2009,berriesNo,130
ColliOrientali,44,11,Carmenere,2010,berriesNo,84
ColliOrientali,44,11,Carmenere,2011,berriesNo,159
ColliOrientali,44,11,Carmenere,2012,berriesNo,106
ColliOrientali,44,11,Carmenere,2013,berriesNo,106
ColliOrientali,44,11,Carmenere,2014,berriesNo,95
ColliOrientali,44,11,Carmenere,2015,berriesNo,112
ColliOrientali,44,11,Carmenere,2016,berriesNo,82
ColliOrientali,44,11,Carmenere,2017,berriesNo,105
ColliOrientali,44,11,Carmenere,2018,berriesNo,109
ColliOrientali,44,11,Carmenere,2019,berriesNo,102
ColliOrientali,44,11,Carmenere,2020,berriesNo,96
ColliOrientali,44,11,Carmenere,2021,berriesNo,100
ColliOrientali,44,11,Carmenere,2022,berriesNo,115
ColliOrientali,44,11,Carmenere,2023,berriesNo,82
ColliOrientali,44,11,Carmenere,2024,berriesNo,75
ColliOrientali,44,11,Carmenere,2006,berryWeight,1.57
ColliOrientali,44,11,Carmenere,2007,berryWeight,1.58
ColliOrientali,44,11,Carmenere,2008,berryWeight,1.37
ColliOrientali,44,11,Carmenere,2009,berryWeight,1.85
ColliOrientali,44,11,Carmenere,2010,berryWeight,1.95
ColliOrientali,44,11,Carmenere,2011,berryWeight,1.09
ColliOrientali,44,11,Carmenere,2012,berryWeight,1.28
ColliOrientali,44,11,Carmenere,2013,berryWeight,1.08
ColliOrientali,44,11,Carmenere,2014,berryWeight,1.65
ColliOrientali,44,11,Carmenere,2015,berryWeight,1.67
ColliOrientali,44,11,Carmenere,2016,berryWeight,1.38
ColliOrientali,44,11,Carmenere,2017,berryWeight,1.64
ColliOrientali,44,11,Carmenere,2018,berryWeight,1.85
ColliOrientali,44,11,Carmenere,2019,berryWeight,1.52
ColliOrientali,44,11,Carmenere,2020,berryWeight,1.9
ColliOrientali,44,11,Carmenere,2021,berryWeight,1.55
ColliOrientali,44,11,Carmenere,2022,berryWeight,1.7
ColliOrientali,44,11,Carmenere,2023,berryWeight,1.52
ColliOrientali,44,11,Carmenere,2024,berryWeight,1.72
ColliOrientali,44,11,Carmenere,2006,yield,2.37
ColliOrientali,44,11,Carmenere,2007,yield,2.75
ColliOrientali,44,11,Carmenere,2008,yield,1.99
ColliOrientali,44,11,Carmenere,2009,yield,2.16
ColliOrientali,44,11,Carmenere,2010,yield,1.64
ColliOrientali,44,11,Carmenere,2011,yield,2.43
ColliOrientali,44,11,Carmenere,2012,yield,1.49
ColliOrientali,44,11,Carmenere,2013,yield,0.8
ColliOrientali,44,11,Carmenere,2014,yield,1.41
ColliOrientali,44,11,Carmenere,2015,yield,1.87
ColliOrientali,44,11,Carmenere,2016,yield,1.24
ColliOrientali,44,11,Carmenere,2017,yield,1.89
ColliOrientali,44,11,Carmenere,2018,yield,3.02
ColliOrientali,44,11,Carmenere,2019,yield,2.17
ColliOrientali,44,11,Carmenere,2008,sugar,20
ColliOrientali,44,11,Carmenere,2009,sugar,21.5
ColliOrientali,44,11,Carmenere,2010,sugar,20.6
ColliOrientali,44,11,Carmenere,2011,sugar,21
ColliOrientali,44,11,Carmenere,2013,sugar,20.7
ColliOrientali,44,11,Carmenere,2014,sugar,18.1
ColliOrientali,44,11,Carmenere,2015,sugar,19.7
ColliOrientali,44,11,Carmenere,2016,sugar,21.4
ColliOrientali,44,11,Carmenere,2017,sugar,17.7
ColliOrientali,44,11,Carmenere,2018,sugar,20.9
ColliOrientali,44,11,Carmenere,2019,sugar,21.2
ColliOrientali,44,11,Carmenere,2020,sugar,19.8
ColliOrientali,44,11,Carmenere,2021,sugar,21.7
ColliOrientali,44,11,Carmenere,2022,sugar,20.8
ColliOrientali,44,11,Carmenere,2023,sugar,21.2
ColliOrientali,44,11,Carmenere,2008,acid,6.7
ColliOrientali,44,11,Carmenere,2009,acid,4.8
ColliOrientali,44,11,Carmenere,2010,acid,5.9
ColliOrientali,44,11,Carmenere,2011,acid,4.9
ColliOrientali,44,11,Carmenere,2013,acid,4.9
ColliOrientali,44,11,Carmenere,2014,acid,7.2
ColliOrientali,44,11,Carmenere,2015,acid,4.4
ColliOrientali,44,11,Carmenere,2016,acid,4.5
ColliOrientali,44,11,Carmenere,2017,acid,5.4
ColliOrientali,44,11,Carmenere,2018,acid,4.1
ColliOrientali,44,11,Carmenere,2019,acid,4.7
ColliOrientali,44,11,Carmenere,2020,acid,4.6
ColliOrientali,44,11,Carmenere,2021,acid,4.2
ColliOrientali,44,11,Carmenere,2022,acid,3.8
ColliOrientali,44,11,Carmenere,2023,acid,4.9
ColliOrientali,44,11,Carmenere,2003,anthocians,1717.63
ColliOrientali,44,11,Carmenere,2004,anthocians,2113.31
ColliOrientali,44,11,Carmenere,2005,anthocians,807.98
ColliOrientali,44,11,Carmenere,2006,anthocians,1564.99
ColliOrientali,44,11,Carmenere,2007,anthocians,1326.26
ColliOrientali,44,11,Carmenere,2008,anthocians,1656
ColliOrientali,44,11,Carmenere,2009,anthocians,1319
ColliOrientali,44,11,Carmenere,2010,anthocians,2063
ColliOrientali,44,11,Carmenere,2011,anthocians,1603
ColliOrientali,44,11,Carmenere,2013,anthocians,1387.83
ColliOrientali,44,11,Carmenere,2015,anthocians,1815.59
